vp,vp_res
used to play badminton,did
painted the house on Thanksgiving,did
participated in the 2021 Chicago Marathon,did
had a good sleep,did
prepared for the meal,did
got stung by a wasp the other day,did
walked toward the stray dog,did
used to dream to become a translator,did
hired a teenager to mow the lawn,did
moved last month,did
opened a new bank account today,did
came back home late at night yesterday,did
used to drink three cups of coffee every day,did
had a nightmare for the first time in years,did
hid behind the trees,did
used to go to school in Japan,did
brought a new plant home,did
had a flat tire,did
suggested a good cleaning company to Ashley,did
worked with the choreographer,did
used to sing in a choir on the weekends,did
used to work as part-time server,did
recently adopted a rescue dog,did
bought five oranges at Wholefoods,did
watered the flowers in the garden,did
had a car accident last night,did
forgot to lock the door,did
just booked a fancy hotel in Chicago,did
used to visit the gourmet regularly,did
seemed very eager to return home ,did
had a bad dream,did
went to the post office,did
got engaged this month,did
finally got divorced last year,did
attended a free yoga lesson,did
recently bought a Toyota,did
went out for a date,did
purchased a new iPad,did
looked quite happy today,did
used to get high grades in high school,did
bought two cans of energy drinks,did
forgot to do the laundry,did
committed a felony,did
decided to purchase a minivan,did
bought an ice cream cake for dessert,did
got an autograph from a famous book writer,did
felt so sleepy all day,did
worked out late at night,did
biked to downtown yesterday,did
used to have difficulty going to bed,did
missed a train this morning,did
won the annual cake-baking contest,did
met the Illinois governor at a Greek restaurant,did
went to Target to buy some carrots,did
bought a newly released music album,did
downloaded a rideshare app to go to the airport,did
took a flight from Newark to Los Angeles,did
performed a piece by Mozart,did
looked concerned about the weather tomorrow,did
has two Bengal cats,does
looks confident,does
has relatives in Singapore,does
has an Italian father,does
climbs trees for recreation,does
knows some card tricks,does
wears a fancy watch,does
wants to get married soon,does
enjoys extreme sports,does
never forgets to greet people with with a big smile,does
used to play for the youth soccer team in 2009,did
has red hair,does
has lots of Korean friends,does
owns lots of stock,does
loves reading Russian books,does
enjoys hiking,does
has two sisters,does
occasionally writes a blog about historical figures,does
speaks five languages,does
takes a vitamin everyday,does
reads eight books a month,does
enjoys having barbecues near the beach,does
has three sons,does
usually drives three hours a day,does
writes poetry as a hobby,does
has strong opinions about all kinds of things,does
volunteers regularly at a local church,does
always has fun stories to tell,does
frequently gives extreme opinions without backing them up,does
finds humor in the worst situations,does
has a pianist friend,does
laughs very loudly,does
enjoys baking apple pies,does
cares a lot about the environment,does
has lots of interest in French cuisine,does
always greets kindly,does
occasionally takes a nap after lunch,does
rides a bike to the nearest park,does
has lots of friends,does
has a good recipe for cooking chicken breast,does
usually trains all year for the national competition,does
drinks two bottles of wine every day,does
hates horror movies,does
has a very slick hairstyle,does
likes bungee jumping,does
has a neat handwriting,does
owns a lot of jewelry,does
drinks a cup of water every morning,does
plans to go apple picking tomorrow,does
hates snow,does
has collected about 100 movie posters so far,has
has been collecting fridge magnets for five years,has
has been checking the clock for five hours,has
has been staying in Hawaii for two months,has
has been a fan of Rihanna since her debut,has
has been neighbors with the mayor,has
has been earning money by making YouTube videos,has
has been working out for two hours,has
has been dreaming of buying a private jet,has
has been participating in marathons since last year,has
has worked in the industry for more than 10 years,has
has been keeping a diary for 15 years,has
has been in town for 10 years,has
has been a long time fan of Ariana Grande,has
has been around for a while,has
has lost a child,has
has just turned 40,has
has undergone chemotherapy,has
has been chosen to audition for the All Stars game,has
is a big fan of Harry Potter,is
is so entertaining,is
is only in it for the money,is
is about to fall asleep,is
is planning a honeymoon,is
is reading a newly released sci-fi book,is
is good looking,is
is sitting on the blue couch,is
is a U.S. immigrant from Vietnam,is
is reading a comic book,is
is not good at riding a bike,is
is vegan,is
is good at board games,is
is tall,is
is a proud New Yorker,is
is lying on the red futon,is
is standing next to the tree,is
is wearing a wedding ring,is
is well paid,is
is reliably clam under pressure,is
is a cordial person,is
is good at communication,is
is quite risk averse,is
is discreet and good at thinking fast,is
is learning Spanish,is
is extremely fickle and demanding,is
is an avid foodie,is
is subscribed to seventy different newsletters,is
is always on time,is
is eccentric and difficult to control,is
is never late,is
is always trustworthy,is
was singing a song,was
was on a diet,was
was trying to fix the broken window,was
was born in 1992,was
was famous in Italy,was
was solving a crossword puzzle,was
was talking to the tall nurse,was
was listening to the radio,was
was sitting on a rocking chair,was
was looking for the nearest gas station,was
was involved in a car accident the other day,was
was looking forward to going on a camping trip,was
was angry,was
was disturbed by speeding cars outside,was
was pulled over for drunk driving ,was
was born in Ecuador,was
was wearing thick clothes,was
was nervous about the stressful situation ,was
was scared about the loud noises coming from a nearby building,was
was mentioned in the newspaper  ,was
was listening to classical music,was
was being chased by a few people,was
was surprised about the exciting news ,was
was excited about the good news ,was
was upset about the cleanliness of City Hall,was
was growing quite upset about the smell from the sink,was
was disappointed with the weather,was
was happy to be outside in the sunny weather,was
was isolated from society for a long time ,was
was nervous about the upcoming debate ,was
was happy about the cross-country road trip ,was
was unhappy about all the noise on the streets,was
would go skiing in the winters,would
would call the landlord every night,would
would wear glasses in the day time,would
would drink coffee after lunch,would
would go to the park for a walk in the evenings,would
would swim in the Lake on Monday mornings,would
would bake banana bread at night,would
would make pasta for dinner,would
would have oatmeal for breakfast,would
would read books at a park nearby,would
would have salad and boiled eggs for lunch,would
would buy lottery tickets on the weekends,would
would drive to the nearest library when the weather is bad,would
would go hiking during the summer months,would
would watch movies on Wednesdays,would
would wear a yellow hat on sunny days,would
would go out for a picnic on Sundays,would
would wake up early on Christmas Eve,would
would always be late for meetings,would
would sleep on the couch,would
would eat bananas at night,would
would go to the movies every week,would
would complain about everything,would
would stay out late on the weekends,would